id,osm_id,class,name,points,sqm
da861e7a-68f2-4009-8924-d92f3122015b,r7008175,land,городское поселение Дудинка,7602,53.32783220027642
7cc56e04-87a4-4fda-a5c3-801aaacb19be,r223026,maritime,Türkmenistan,15923,52.83683783481596
73f85ffd-9380-441b-a58e-febe0a577f80,r1656678,land,South Sudan جنوب السودان,30744,52.667327511406185
a3a590e2-5c86-434d-a4f3-f9cca7e4b978,r2605296,land,North Slope Borough,3242,52.62883575034365
26ac2145-fa89-41d6-8372-d78bf045004d,r8792922,land,Rivière-Koksoak,56631,52.57531060545189
50a008bb-9916-45e2-bc19-136d7894da4e,r2067731,maritime,ประเทศไทย,50355,52.54328904501837
1df6cb62-6cd5-4d24-8d02-8191c6b915de,r447325,land,Madagasikara / Madagascar,2379,50.96167501218858
0134afb6-5a0a-4ce8-a6cf-62ba07a2b040,r223026,land,Türkmenistan,14905,50.9179155315165
9deff093-3553-4b05-b25f-851275e2648d,r1889339,land,Botswana,29151,50.663182293444216
4b184be2-9815-4385-9f62-2f591bf56e3b,r192790,land,Ködörösêse tî Bêafrîka / République centrafricaine,33577,50.600374144953314
b8775311-a44e-492d-b9ed-9fa04660bdaa,r315173,land,Minas Gerais,71508,50.19629064693173
b08b431b-cfa6-4bdb-8959-1d9980739ff8,r365331,maritime,Italia,61616,49.73234817870905
d95d3f8a-a2f4-4436-b0e4-a3a86d15008e,r51477,maritime,Deutschland,158681,49.21069524391871
d04d0ab1-201f-4f3d-b9c6-96101bfd6d5d,r362413,maritime,Bahia,76269,49.147445610089584
86e10952-ae31-4de9-98c7-6aad70391a78,r147166,land,Amur,20058,49.0177603800465
8182d34d-4fb6-4c27-be3e-d0de808db075,r2747242,land,巴音郭楞蒙古自治州 بايىنغولىن موڭغۇل ئاپتونوم ئوبلاستى,11505,48.92472513768825
19fd9dd7-8252-4e03-b250-f46cc4bb24fc,r556706,maritime,New Zealand,17822,48.750920508038426
e4201452-a21f-4832-be31-99563d8f44c1,r192798,maritime,Kenya,7761,48.673781055970345
798f7fdc-5c0e-4ec1-9090-9f6f0b5b836b,r4090664,land,Корякский округ,13516,48.653574659512635
